,domain,bias_rating,category,mbfc_ideo,ave_m,ave_m_log10,donation,donation_adj,len_of_content,content,link,cleaned_rating,side,sep_side
0,wikipedia.org,least biased,center,0.0,5370000000.0,9.729974285780430,0,1,1,unknown,unknown,unknown,unknown,unknown
1,msn.com,left-center,leftcenter,-1.0,743000000.0,8.87098881434509,0,0,1,unknown,unknown,left center,left,left center
2,cnn.com,left,left,-1.0,535000000.0,8.728353782832990,0,0,1,unknown,unknown,left,left,left
3,dailymail.co.uk,right,fake-news,1.0,484020000.0,8.684863307326610,0,0,1,unknown,unknown,right,right,right
4,foxnews.com,right,fake-news,1.0,391666666.0,8.592916612257710,0,0,1,unknown,unknown,right,right,right
5,newsweek.com,right-center,right-center,1.0,344790000.0,8.537554661422400,0,0,1,unknown,unknown,right center,right,right center
6,theguardian.com,left-center,leftcenter,-1.0,267566666.0,8.427432008798150,1,1,2,support us,https://support.theguardian.com/us/contribute?REFPVID=luaooauv0u2ys1zyqbon&INTCMP=header_support_2024-03-21_FEARLESS_HEADER__US_CONTROL&acquisitionData=%7B%22source%22%3A%22GUARDIAN_WEB%22%2C%22componentId%22%3A%22header_support_2024-03-21_FEARLESS_HEADER__US_CONTROL%22%2C%22componentType%22%3A%22ACQUISITIONS_HEADER%22%2C%22campaignCode%22%3A%22header_support_2024-03-21_FEARLESS_HEADER__US_CONTROL%22%2C%22abTests%22%3A%5B%7B%22name%22%3A%222024-03-21_FEARLESS_HEADER__US%22%2C%22variant%22%3A%22CONTROL%22%7D%5D%2C%22referrerPageviewId%22%3A%22luaooauv0u2ys1zyqbon%22%2C%22referrerUrl%22%3A%22https%3A%2F%2Fwww.theguardian.com%2Fus%22%2C%22isRemote%22%3Atrue%7D&numArticles=0,left center,left,left center
7,worldometers.info,least biased,center,0.0,249370000.0,8.396844205284740,0,0,1,unknown,unknown,unknown,unknown,unknown
8,nytimes.com,left-center,leftcenter,-1.0,243333333.0,8.38620160659064,0,0,1,unknown,unknown,left center,left,left center
9,aol.com,left-center,leftcenter,-1.0,230666666.0,8.362984840364690,0,0,1,unknown,unknown,left center,left,left center
10,ndtv.com,left-center,leftcenter,-1.0,184633333.0,8.266310111995160,failed,failed,1,unknown,unknown,left center,left,left center
11,express.co.uk,right,right,1.0,170300000.0,8.231214650512770,0,0,1,unknown,unknown,right,right,right
12,indiatimes.com,right-center,right-center,1.0,167133333.0,8.223063076634860,0,0,1,unknown,unknown,right center,right,right center
13,infobae.com,left-center,leftcenter,-1.0,157150000.0,8.196314385353600,0,0,1,unknown,unknown,left center,left,left center
14,elpais.com,left-center,leftcenter,-1.0,156700000.0,8.195068999240090,0,0,1,unknown,unknown,left center,left,left center
15,medium.com,left-center,leftcenter,-1.0,152800000.0,8.184123357081910,0,0,1,unknown,unknown,left center,left,left center
16,thesun.co.uk,right,right,1.0,150066666.0,8.17628423690951,0,0,1,unknown,unknown,right,right,right
17,buzzfeed.com,left-center,leftcenter,-1.0,135566666.0,8.132152918752780,0,0,1,unknown,unknown,left center,left,left center
18,usatoday.com,left-center,leftcenter,-1.0,129133333.0,8.111038363905530,0,0,1,unknown,unknown,left center,left,left center
19,spiegel.de,left-center,leftcenter,-1.0,127800000.0,8.106530857220620,0,0,1,unknown,unknown,left center,left,left center
20,forbes.com,right-center,right-center,1.0,108366666.0,8.034895716112340,0,0,1,unknown,unknown,right center,right,right center
21,cnet.com,least biased,center,0.0,106000000.0,8.025305869361890,0,0,1,unknown,unknown,unknown,unknown,unknown
22,nypost.com,right-center,right-center,1.0,104533333.0,8.019254802062470,0,0,1,unknown,unknown,right center,right,right center
23,businessinsider.com,unknown,leftcenter,-1.0,102533333.0,8.010865079233490,0,0,1,unknown,unknown,unknown,unknown,unknown
24,people.com,left,left,-1.0,101633333.0,8.007036172494490,0,0,1,unknown,unknown,left,left,left
25,cnbc.com,left-center,leftcenter,-1.0,100900000.0,8.003891170541120,0,0,1,unknown,unknown,left center,left,left center
